,Battery,Brand,Multi_core,Name,OpenCL,Processor,Processor_Cores,Processor_Frequency,RenderScript,Single_core
39,3620,Xiaomi,6193,Xiaomi MI 6,10795,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7658,1894
40,N/A,Huawei,6386,Huawei Nova 2s,11811,Hisilicon Kirin 960,8,1844 MHz,10914,1893
41,3490,Motorola,6482,Motorola Moto Z2 Force,10913,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7770,1892
42,3488,Xiaomi,6267,Xiaomi Mi Mix 2,10857,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7672,1890
43,N/A,Sony,6422,Sony Xperia XZ1 Compact,11214,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7814,1890
44,4046,Sony,6156,Sony Xperia XZ Premium,11018,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7782,1886
45,3186,Sony,6179,Sony Xperia XZ1,11221,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7775,1880
46,N/A,Smartisan,4432,Smartisan M1,10091,Qualcomm MSM8996 Snapdragon 821,4,2188 MHz,7427,1880
47,N/A,Huawei,6106,Huawei Honor V9,9458,Hisilicon Kirin 960,8,1844 MHz,9623,1877
48,2627,Huawei,6461,Huawei Honor View 10,13379,HiSilicon Kirin 970,8,1844 MHz,8984,1877
49,2428,Huawei,6302,Huawei Honor 9,11257,Hisilicon Kirin 960,8,1844 MHz,10491,1873
50,3440,Essential,6319,Essential PH-1,10798,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7647,1873
51,N/A,Huawei,5972,Huawei Mate 9,9776,Hisilicon Kirin 960,8,1844 MHz,8619,1870
52,2440,Huawei,5850,Huawei P10 Plus,9990,Hisilicon Kirin 960,8,1844 MHz,8821,1870
53,N/A,Smartisan,4330,Smartisan M1L,9964,Qualcomm MSM8996 Snapdragon 821,4,2188 MHz,7512,1868
54,2768,Huawei,6063,Huawei Honor 8 Pro,8156,Hisilicon Kirin 960,8,1844 MHz,9032,1867
55,N/A,Huawei,5707,Huawei Mate 9 Pro,9659,Hisilicon Kirin 960,8,1844 MHz,8923,1866
56,4033,LG,6151,LG V30,9542,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7480,1866
57,2447,Huawei,6054,Huawei P10,9580,Hisilicon Kirin 960,8,1844 MHz,9000,1861
58,3012,Google,6060,Google Pixel 2,9970,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7179,1838
59,3482,Huawei,6217,Huawei Honor 10,13372,HiSilicon Kirin 970,8,1844 MHz,8459,1827
60,3860,Google,6121,Google Pixel 2 XL,7553,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7089,1826
61,4523,Xiaomi,5718,Xiaomi Mi 8 SE,5761,Qualcomm SDM710 Snapdragon 710,8,1708 MHz,6682,1823
62,2220,Samsung,5356,Samsung Galaxy S7,7368,Samsung Exynos 8890,8,1586 MHz,4790,1811
63,2010,OnePlus,4117,OnePlus 3T,10178,Qualcomm MSM8996 Snapdragon 821,4,2188 MHz,7474,1800
64,3375,LeEco,4055,LeEco Le Pro3,9828,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,2188 MHz,7217,1798
65,3572,Samsung,6277,Samsung Galaxy Note 8,12953,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,9054,1792
66,2556,Xiaomi,4020,Xiaomi MI 5s Plus,9476,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,2188 MHz,6912,1776
67,N/A,Samsung,6057,Samsung Galaxy S8 Active,10321,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7509,1775
68,N/A,Coolpad,4187,Coolpad Cool S1,9300,Qualcomm MSM8996 Snapdragon 821,4,2188 MHz,7272,1772
69,4174,Samsung,6032,Samsung Galaxy S8+,11747,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,8349,1771
70,2574,Huawei,5096,Huawei P9 Plus,3766,HiSilicon Kirin 955,8,1805 MHz,3853,1767
71,N/A,Meizu,5763,Meizu Pro 7,N/A,Mediatek MT6799 Helio X30,10,1898 MHz,4807,1767
72,3410,Samsung,6028,Samsung Galaxy S8,12897,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,8800,1763
73,3140,Xiaomi,3963,Xiaomi Mi Note 2,9375,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,2188 MHz,7100,1761
74,N/A,Huawei,5067,Huawei Honor V8 Max,4288,HiSilicon Kirin 955,8,1805 MHz,3973,1759
75,N/A,Xiaomi,3882,Xiaomi Mi Mix,9388,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,2188 MHz,6859,1749
76,2782,Samsung,5291,Samsung Galaxy S7 edge,6965,Samsung Exynos 8890,8,1586 MHz,4571,1745
77,N/A,Huawei,5375,Huawei Honor V8,4187,HiSilicon Kirin 950,8,1805 MHz,3870,1745
78,N/A,Samsung,5109,Samsung Galaxy Note 7,3811,Samsung Exynos 8890,8,1586 MHz,3308,1734
79,1848,HTC,2774,HTC Nexus 9,N/A,NVIDIA Tegra K1 Denver,2,2499 MHz,3643,1728
80,1725,Huawei,4820,Huawei P9,3869,HiSilicon Kirin 955,8,1805 MHz,3797,1709
81,1667,BlackBerry,3788,BlackBerry DTEK60,9674,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6820,1703
82,N/A,Vivo,3897,Vivo Xplay 6,9843,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,7054,1695
83,N/A,Vernee,4265,Vernee Apollo,4203,Mediatek MT6797T Helio X25,10,1547 MHz,3118,1691
84,N/A,Meizu,5635,Meizu Pro 7 Plus,N/A,Mediatek MT6799 Helio X30,10,1898 MHz,5041,1684
85,1956,OnePlus,3947,OnePlus 3,10046,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,7325,1683
86,2292,Huawei,5282,Huawei Mate 8,3754,HiSilicon Kirin 950,8,1805 MHz,3812,1683
87,N/A,ZTE,3824,ZTE Nubia Z11,7526,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,4201,1676
88,3338,Huawei,5132,Huawei MediaPad M3 8.4,3568,HiSilicon Kirin 950,8,1805 MHz,4219,1672
89,N/A,OPPO,5563,OPPO R11 Plus,7289,Qualcomm Snapdragon 660,8,1843 MHz,5623,1672
90,1920,Huawei,5203,Huawei Honor 8,3956,HiSilicon Kirin 950,8,1805 MHz,3962,1665
91,2501,LeEco,3825,LeEco Le Max 2,9202,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6987,1665
92,3246,LG,3795,LG G6,8827,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,2188 MHz,6910,1664
93,1810,HTC,3922,HTC U Ultra,9857,Qualcomm MSM8996 Snapdragon 821,4,1996 MHz,7174,1662
94,1804,ZTE,3919,ZTE Axon 7,9711,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6911,1656
95,1726,LG,3668,LG G5,9345,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6585,1651
96,2908,Xiaomi,4014,Xiaomi Redmi Pro,N/A,Mediatek MT6797T Helio X25,10,1547 MHz,3133,1648
97,2107,Lenovo,3492,Lenovo ZUK Z2,9937,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6333,1642
98,1674,ZTE,3869,ZTE Axon 7,9757,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6936,1639
99,N/A,Vivo,5703,Vivo X20,N/A,Qualcomm Snapdragon 660,8,1843 MHz,5409,1632
100,2141,Google,4060,Google Pixel XL,7201,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,1593 MHz,7508,1626
101,1738,Google,4014,Google Pixel,N/A,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,1593 MHz,7708,1626
102,3778,Nokia,5707,Nokia 7 Plus,4431,Qualcomm Snapdragon 660,8,1843 MHz,5642,1620
103,2377,Xiaomi,3935,Xiaomi MI 5s,9499,Qualcomm MSM8996 Pro-AB Snapdragon 821,4,1996 MHz,6953,1617
104,3208,Smartisan,5705,Smartisan Nut Pro 2,4132,Qualcomm Snapdragon 660,8,1843 MHz,5272,1614
105,N/A,Vernee,4410,Vernee Apollo Lite,3858,Mediatek MT6797 Helio X20,10,1391 MHz,2871,1612
106,N/A,Sony,3696,Sony Xperia XZs,9978,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,7390,1610
107,1865,Xiaomi,3694,Xiaomi Mi 5,9045,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6540,1606
108,N/A,Qihoo,5681,Qihoo 360 N6 Pro,4141,Qualcomm Snapdragon 660,8,1843 MHz,5426,1605
109,N/A,Vivo,5778,Vivo X20A,4045,Qualcomm Snapdragon 660,8,1843 MHz,5397,1604
110,N/A,OPPO,5602,OPPO R11,8994,Qualcomm Snapdragon 660,8,1843 MHz,4973,1603
111,1341,Kodak,4468,Kodak Ektra,3960,Mediatek MT6797 Helio X20,10,1391 MHz,3421,1599
112,N/A,UMi,4371,UMi Z,4356,Mediatek Helio X27,10,1547 MHz,3177,1598
113,N/A,Xiaomi,5253,Xiaomi Mi A2,4407,Qualcomm Snapdragon 660,8,1843 MHz,5453,1596
114,4548,Xiaomi,5630,Xiaomi Mi Note 3,4128,Qualcomm Snapdragon 660,8,1843 MHz,5365,1588
115,N/A,Xiaomi,3510,Xiaomi Mi Pad 3,N/A,Mediatek MT8176,6,1703 MHz,2966,1578
116,1878,LG,3492,LG V20,9037,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6372,1569
117,2270,Sony,3616,Sony Xperia XZ,9849,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,7230,1567
118,1679,HTC,3479,HTC 10,9510,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6633,1557
119,N/A,Sony,3603,Sony Xperia X Performance,9746,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,7142,1551
120,N/A,UMi,4335,UMi Z Pro,4197,Mediatek Helio X27,10,1547 MHz,3464,1550
121,1926,Samsung,3719,Samsung Galaxy S7,7424,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,4954,1536
122,1475,Motorola,3744,Motorola Moto Z,9046,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6836,1536
123,N/A,Asus,3405,Asus Zenpad 3S 10,N/A,Mediatek MT8176,6,1703 MHz,2799,1534
124,1776,Lenovo,3587,Lenovo ZUK Z2 Pro,9951,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6198,1532
125,N/A,Lenovo,3770,Lenovo ZUK Edge,10170,Qualcomm MSM8996 Snapdragon 821,4,2188 MHz,7122,1530
126,N/A,Samsung,3836,Samsung Galaxy Tab S3,9064,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6700,1523
127,N/A,Samsung,3865,Samsung Galaxy Note 7,3929,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,4061,1519
128,N/A,Qihoo,4296,Qihoo 360 N4,N/A,Mediatek MT6797 Helio X20,10,1391 MHz,2926,1517
129,N/A,QiKU,4275,QiKU N4s,N/A,Mediatek MT6797 Helio X20,10,1391 MHz,2879,1511
130,N/A,NVIDIA,4263,NVIDIA SHIELD Android TV,N/A,NVIDIA Tegra X1,4,2014 MHz,3424,1510
131,N/A,Meizu,3671,Meizu MX6,3371,Mediatek MT6797 Helio X20,10,1391 MHz,3049,1505
132,2747,Samsung,3700,Samsung Galaxy S7 Active,8229,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,6161,1501
133,3035,Samsung,4208,Samsung Galaxy A8 (2018),4585,Samsung Exynos 7885 Octa,8,1586 MHz,3705,1482
134,2733,Lenovo,4067,Lenovo K8 Note,N/A,Mediatek Helio X23,10,1391 MHz,3243,1476
135,1485,LeEco,3583,LeEco Le S3,3727,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3410,1476
136,N/A,Xiaomi,4010,Xiaomi Redmi Note 4,1785,Qualcomm MSM8953 Snapdragon 625,8,0 MHz,3151,1475
137,N/A,LeEco,3716,LeEco Le2 Pro,N/A,Mediatek MT6797T Helio X25,10,1846 MHz,2615,1472
138,4030,Oppo,5554,Oppo F7,N/A,Mediatek MT6771 Helio P60,8,1989 MHz,5172,1472
139,2710,Meizu,4362,Meizu PRO 6 Plus,5206,Samsung Exynos 8890,8,1482 MHz,4322,1465
140,3032,Samsung,3744,Samsung Galaxy S7 edge,6992,Qualcomm MSM8996 Snapdragon 820,4,1593 MHz,4741,1456
141,2930,Samsung,4083,Samsung Galaxy A8+ (2018),4640,Samsung Exynos 7885 Octa,8,1586 MHz,3548,1455
142,2105,Asus,5089,Asus Zenfone 5 Max,3108,Qualcomm Snapdragon 660,8,1612 MHz,4796,1449
143,5425,Oppo,5343,Oppo Realme 1,4380,Mediatek MT6771 Helio P60,8,1989 MHz,5018,1444
144,N/A,Vivo,4466,Vivo X9 Plus,4011,Qualcomm MSM8976 Snapdragon 653,8,1401 MHz,4483,1430
145,2051,Oppo,4515,Oppo F3 Plus,3992,Qualcomm MSM8976 Snapdragon 653,8,1401 MHz,4932,1427
146,N/A,Asus,3362,Asus Zenpad Z10,3841,Qualcomm MSM8956 Snapdragon 650,6,1401 MHz,3876,1419
147,N/A,Alcatel,3088,Alcatel Idol 4s,3866,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3904,1414
148,N/A,LeMobile,2345,LeMobile Le X527,N/A,,0,1401 MHz,3641,1406
149,N/A,Qihoo,4343,Qihoo 360 N5S,3834,Qualcomm MSM8976 Snapdragon 653,8,1401 MHz,4415,1402
150,2133,Xiaomi,2694,Xiaomi Redmi Note 3,3775,Qualcomm MSM8956 Snapdragon 650,6,1401 MHz,3315,1399
151,N/A,Qihoo,4217,Qihoo 360 N5,3929,Qualcomm MSM8976 Snapdragon 653,8,1401 MHz,4275,1397
152,1241,Vodafone,3085,Vodafone Smart Platinum 7,3792,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3821,1397
153,N/A,Lyf,2768,Lyf F1S,3881,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4089,1396
154,N/A,LeEco,2446,LeEco Cool Changer 1C,3907,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3744,1388
155,2206,Xiaomi,3146,Xiaomi MI MAX,3835,Qualcomm MSM8956 Snapdragon 650,6,1401 MHz,3679,1376
156,1618,LeEco,2575,LeEco Le 2,3617,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3920,1374
157,N/A,Sony,3404,Sony Xperia X Compact,3755,Qualcomm MSM8956 Snapdragon 650,6,1401 MHz,3834,1374
158,1729,Sony,3282,Sony Xperia X,3802,Qualcomm MSM8956 Snapdragon 650,6,1401 MHz,3867,1373
159,1839,LeEco,2846,LeEco Coolpad Cool1 dual,3867,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4040,1372
160,N/A,Vivo,2825,Vivo V3 Max,3886,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3605,1372
161,N/A,ZTE,4259,ZTE Nubia Z17 Mini,3730,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4264,1372
162,1947,Samsung,4274,Samsung Galaxy Tab S2 9.7 (2016),3901,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4235,1369
163,763,Asus,2873,Asus Zenpad Z8,3872,Qualcomm MSM8956 Snapdragon 650,6,1401 MHz,3710,1365
164,N/A,LeEco,2723,LeEco LeRee Le 3,3920,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4201,1364
165,N/A,Samsung,3969,Samsung Galaxy Tab S2 8.0,3386,Samsung Exynos 5433,8,1401 MHz,3215,1359
166,N/A,Meizu,4227,Meizu PRO 5,3860,Samsung Exynos 7420,8,1500 MHz,3032,1357
167,N/A,Asus,3659,Asus Zenfone 3 Ultra,3907,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4146,1357
168,1841,Samsung,3956,Samsung Galaxy Tab S2 8.0,3888,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4163,1355
169,N/A,Sony,3440,Sony Xperia Z4 Tablet (Wi-Fi),5588,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4240,1350
170,N/A,Google,3371,Google Pixel C,N/A,NVIDIA Tegra X1,4,1912 MHz,2145,1345
171,N/A,Vivo,3329,Vivo X7,3920,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4023,1339
172,5257,Xiaomi,4773,Xiaomi Redmi Note 5 AI,3121,Qualcomm SDM636 Snapdragon 636,8,1612 MHz,4483,1330
173,N/A,ZTE,3472,ZTE Nubia Z11 Max,3437,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3564,1327
174,5444,Xiaomi,4667,Xiaomi Redmi Note 5 Pro,3035,Qualcomm SDM636 Snapdragon 636,8,1612 MHz,4438,1326
175,N/A,Vivo,3301,Vivo X7 Plus,N/A,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4015,1326
176,N/A,Vivo,3158,Vivo X6S,3889,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3877,1325
177,3934,Nokia,4761,Nokia 6.1 Plus,3054,Qualcomm SDM636 Snapdragon 636,8,1612 MHz,4258,1319
178,1627,Meizu,3786,Meizu Pro 6,N/A,Mediatek MT6797T Helio X25,10,1547 MHz,3230,1318
179,6442,Asus,4681,Asus Zenfone Max Pro (M1),3123,Qualcomm SDM636 Snapdragon 636,8,1612 MHz,4451,1317
180,1666,Samsung,4059,Samsung Galaxy S6 edge+,5498,Samsung Exynos 7420,8,1500 MHz,2914,1309
181,N/A,Meizu,3152,Meizu S6,N/A,Samsung Exynos 7885 Octa,8,1586 MHz,2731,1308
182,N/A,Samsung,4204,Samsung Galaxy A8 (2016),5735,Samsung Exynos 7420,8,1500 MHz,3401,1305
183,1753,Samsung,4028,Samsung Galaxy Note 5,5600,Samsung Exynos 7420,8,1500 MHz,2908,1303
184,N/A,Smartron,2814,Smartron srt.phone,3653,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4076,1301
185,N/A,Samsung,3796,Samsung Galaxy A9 Pro,3738,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3558,1300
186,N/A,Elephone,4091,Elephone S8,N/A,Mediatek MT6797T Helio X25,10,2002 MHz,3285,1299
187,N/A,Samsung,4034,Samsung Galaxy C9 Pro,3475,Qualcomm MSM8976 Snapdragon 653,8,1401 MHz,4099,1294
188,1586,Samsung,4051,Samsung Galaxy S6 edge,5264,Samsung Exynos 7420,8,1500 MHz,2943,1292
189,N/A,Sony,2815,Sony Xperia Z4,5113,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3970,1288
190,1716,Samsung,4149,Samsung Galaxy S6 Active,5813,Samsung Exynos 7420,8,1500 MHz,3097,1286
191,N/A,Elephone,3086,Elephone S7,3517,Mediatek MT6797 Helio X20,10,1391 MHz,2854,1283
192,N/A,Lenovo,3099,Lenovo Yoga Tab 3 Plus,3820,Qualcomm MSM8953 Snapdragon 625,8,1401 MHz,4089,1279
193,1417,Samsung,3954,Samsung Galaxy Note5 Duos,5225,Samsung Exynos 7420,8,1500 MHz,2898,1278
194,N/A,Motorola,3375,Motorola Moto X Force,5454,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4227,1271
195,1202,Sony,2791,Sony Xperia Z5 Premium,5525,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4190,1266
196,N/A,LeEco,2832,LeEco Le Pro 1,5542,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3824,1261
197,N/A,LeEco,2921,LeEco Le Max,5159,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3776,1258
198,N/A,Sharp,3994,Sharp Luna S,3877,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,4001,1258
199,1618,Samsung,3945,Samsung Galaxy S6,5388,Samsung Exynos 7420,8,1500 MHz,2854,1257
200,N/A,Sony,2751,Sony Xperia Z5 Premium Dual,5345,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4138,1239
201,1192,Huawei,2878,Huawei Nexus 6P,N/A,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4404,1238
202,N/A,ZTE,2716,ZTE Nubia Z9 Max,5635,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3783,1235
203,1359,Sony,2715,Sony Xperia Z5 Dual,5337,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4114,1234
204,1135,Sony,2699,Sony Xperia Z5,5503,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4070,1230
205,1340,Sony,2688,Sony Xperia Z5 Compact,N/A,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3887,1222
206,886,Xiaomi,2715,Xiaomi Mi Note Pro,5509,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3930,1218
207,N/A,Sony,2595,Sony Xperia Z5 Compact,5460,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,4000,1215
208,1080,Sony,2296,Sony Xperia Z3+,4744,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3655,1207
209,879,HTC,2476,HTC One M9,4911,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3765,1204
210,N/A,ZTE,2652,ZTE Nubia Z9,N/A,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3695,1200
211,N/A,Amazon,2161,Amazon Fire HD 10,N/A,Mediatek MT8173,4,1404 MHz,1541,1195
212,954,LG,2351,LG G Flex 2,4842,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3441,1177
213,3844,Lenovo,3245,Lenovo Yogabook YB1-X90F,N/A,Intel Atom x5-Z8550,4,2400 MHz,3099,1170
214,N/A,Meizu,4305,Meizu Pro 6s,N/A,Mediatek MT6797T Helio X25,10,1547 MHz,3175,1169
215,N/A,LG,3310,LG G5 SE,3956,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3614,1165
216,N/A,HTC,1881,HTC Butterfly 3,5279,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3580,1157
217,N/A,BQ,2672,BQ Aquaris X5 Plus,4066,Qualcomm MSM8976 Snapdragon 652,4,1401 MHz,3369,1155
218,N/A,QiKU,2812,QiKU Q Terra,N/A,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2701,1150
219,N/A,Acer,1071,Acer Chromebook R11,N/A,Intel Celeron N3150,4,2582 MHz,933,1140
220,1058,Motorola,2798,Motorola Moto X Style,2721,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2787,1124
221,N/A,Lenovo,3101,Lenovo Yoga Tab 3 Pro,N/A,Intel Atom x5-Z8500,4,2240 MHz,4480,1107
222,1264,Nextbit,2249,Nextbit Robin,2807,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2812,1096
223,N/A,LG,2579,LG G4,2758,Qualcomm MSM8992 Snapdragon 808,6,1248 MHz,2728,1095
224,N/A,LG,2462,LG G4,2758,Qualcomm MSM8992 Snapdragon 808,6,1248 MHz,2720,1079
225,N/A,Asus,3031,Asus Zenpad S 8.0,2411,Intel Atom Z3580,4,2333 MHz,1202,1077
